Film,Anno,Genere,Ratings,Incasso Globale
All'ovest niente di nuovo ,1930,Drama,8.1,
Giorni perduti ,1945,Drama,7.9,
Fronte del porto ,1954,Crime,8.1,"$3,350"
L'appartamento ,1960,Comedy,8.3,"$18,778,738"
Lawrence d'Arabia ,1962,Adventure,8.3,"$45,754,427"
Quinto potere ,1976,Drama,8.1,"$23,701,317"
Gandhi ,1982,Biography,8.0,"$52,767,889"
La mia Africa ,1985,Biography,7.1,"$227,514,205"
L'ultimo imperatore ,1987,Biography,7.7,"$43,994,979"
Rain Man - L'uomo della pioggia ,1988,Drama,8.0,"$354,825,435"
A spasso con Daisy ,1989,Comedy,7.3,"$145,793,296"
Schindler's List ,1993,Biography,9.0,"$322,161,245"
Forrest Gump ,1994,Drama,8.8,"$678,226,465"
Il paziente inglese ,1996,Drama,7.4,"$231,976,425"
Crash: Contatto fisico ,2004,Crime,7.7,"$98,410,061"
The Millionaire ,2008,Crime,8.0,"$378,411,362"
Il discorso del re ,2010,Biography,8.0,"$472,088,310"
12 anni schiavo ,2013,Biography,8.1,"$187,734,091"
Il caso Spotlight ,2015,Biography,8.1,"$98,690,254"
Moonlight ,2016,Drama,7.4,"$65,172,611"
La forma dell'acqua - The Shape of Water ,2017,Drama,7.3,"$195,243,464"
Green Book ,2018,Biography,8.2,"$321,752,656"
Parasite ,2019,Drama,8.5,"$262,129,969"
Nomadland ,2020,Drama,7.3,"$39,458,207"
CODA - I segni del cuore ,2021,Comedy,8.0,"$1,905,058"
