Title,Year,Genre,Ratings
All'ovest niente di nuovo ,1930,Drama,8.1
Giorni perduti ,1945,Drama,7.9
Fronte del porto ,1954,Crime,8.1
L'appartamento ,1960,Comedy,8.3
Quinto potere ,1976,Drama,8.1
Gandhi ,1982,Biography,8.0
A spasso con Daisy ,1989,Comedy,7.3
Schindler's List ,1993,Biography,9.0
Forrest Gump ,1994,Drama,8.8
The Millionaire ,2008,Crime,8.0
12 anni schiavo ,2013,Biography,8.1
Il caso Spotlight ,2015,Biography,8.1
La forma dell'acqua - The Shape of Water ,2017,Drama,7.3
Green Book ,2018,Biography,8.2
Parasite ,2019,Drama,8.5
Nomadland ,2020,Drama,7.3
CODA - I segni del cuore ,2021,Comedy,8.0
